INSERT into payments (OrderNumber, paymentType, CID, AmountPaid, Gratuity) VALUES
(3684, debit, 243, 91.0, 0.0),
(3685, credit card, 207, 73.0, 0.0),
(3686, cash, 542, 20.75, 2.50),
(3686, cash, 542, 20.75, 2.50),
(3686, credit, 542, 20.75, 2.50),
(3686, debit, 542, 20.75, 2.50),
(3687, debit, 245, 52.75, 0.0),
(3687, cash, 245, 52.75, 0.0),
(3688, cash, 925, 46.5, 0.0),
(3689, credit card, 401, 61.0, 0.0),
(3690, debit, 259, 40.50, 0.0),
(3690, cash, 259, 40.50, 0.0),
(3691, credit card, 477, 9.5, 0.0),
(3692, debit, 495, 86.5, 0.0),
(3693, cash, 373, 133.0, 0.0),
(3694, cash, 889, 78.0, 0.0),
(3695, credit, 866, 12.50, 0.0),
(3695, credit, 866, 12.50, 0.0),
(3696, credit, 312, 58.75, 0.0),
(3696, debit, 312, 58.75, 0.0),
(3697, debit, 306, 81.0, 0.0),
(3698, credit, 726, 40.00, 0.0),
(3698, cash, 726, 40.00, 0.0),
(3699, cash, 85, 14.50, 2.00),
(3699, debit, 85, 14.50, 2.00),
(3699, debit, 85, 14.50, 2.00),
(3699, cash, 85, 14.50, 2.00),
(3699, debit, 85, 14.50, 2.00),
(3700, credit, 875, 130.0, 0.0),
(3701, credit card, 352, 12.5, 0.0),
(3702, cash, 203, 6.25, 0.0),
(3702, debit, 203, 6.25, 0.0),
(3703, debit, 191, 68.0, 0.0),
(3704, credit card, 237, 64.0, 0.0),
(3705, cash, 392, 34.0, 0.0),
(3706, credit, 381, 61.0, 0.0),
(3707, cash, 536, 12.0, 0.0),
(3708, credit card, 850, 91.5, 0.0),
(3709, credit, 695, 2.00, 0.0),
(3709, cash, 695, 2.00, 0.0),
(3710, cash, 843, 21.25, 2.50),
(3710, cash, 843, 21.25, 2.50),
(3710, debit, 843, 21.25, 2.50),
(3710, cash, 843, 21.25, 2.50),
(3711, debit, 596, 70.5, 0.0),
(3712, debit, 137, 20.00, 2.00),
(3712, credit, 137, 20.00, 2.00),
(3712, cash, 137, 20.00, 2.00),
(3712, debit, 137, 20.00, 2.00),
(3712, cash, 137, 20.00, 2.00),
(3713, debit, 65, 21.0, 0.0),
(3714, cash, 245, 40.5, 0.0),
(3715, cash, 264, 41.5, 0.0),
(3716, cash, 636, 3.38, 2.50),
(3716, cash, 636, 3.38, 2.50),
(3716, debit, 636, 3.38, 2.50),
(3716, cash, 636, 3.38, 2.50),
(3717, cash, 554, 28.50, 2.50),
(3717, debit, 554, 28.50, 2.50),
(3717, cash, 554, 28.50, 2.50),
(3717, cash, 554, 28.50, 2.50),
(3718, debit, 151, 41.75, 0.0),
(3718, debit, 151, 41.75, 0.0),
(3719, cash, 179, 9.50, 0.0),
(3719, debit, 179, 9.50, 0.0),
(3720, debit, 895, 69.5, 0.0),
(3721, cash, 256, 83.0, 0.0),
(3722, debit, 278, 39.5, 0.0),
(3723, cash, 411, 39.50, 0.0),
(3723, cash, 411, 39.50, 0.0),
(3724, debit, 412, 14.5, 0.0),
(3725, debit, 410, 27.75, 0.0),
(3725, debit, 410, 27.75, 0.0),
(3726, cash, 602, 33.5, 0.0),
(3727, credit card, 744, 13.5, 0.0),
(3728, cash, 771, 21.0, 0.0),
(3729, debit, 89, 14.5, 0.0),
(3730, credit, 587, 87.0, 0.0),
(3731, credit, 52, 40.5, 0.0),
(3732, credit card, 363, 102.0, 0.0),
(3733, credit card, 983, 29.0, 0.0),
(3734, debit, 762, 22.63, 2.50),
(3734, cash, 762, 22.63, 2.50),
(3734, debit, 762, 22.63, 2.50),
(3734, cash, 762, 22.63, 2.50),
(3735, debit, 872, 55.00, 0.0),
(3735, credit, 872, 55.00, 0.0),
(3736, cash, 312, 21.33, 3.33),
(3736, cash, 312, 21.33, 3.33),
(3736, credit, 312, 21.33, 3.33),
(3737, credit, 268, 64.0, 0.0),
(3738, credit card, 7, 57.5, 0.0),
(3739, credit, 781, 31.50, 0.0),
(3739, cash, 781, 31.50, 0.0),
(3740, debit, 642, 27.33, 3.33),
(3740, cash, 642, 27.33, 3.33),
(3740, credit, 642, 27.33, 3.33),
(3741, credit card, 659, 82.0, 0.0),
(3742, cash, 667, 9.5, 0.0),
(3743, credit, 930, 42.50, 0.0),
(3743, debit, 930, 42.50, 0.0),
(3744, cash, 725, 56.50, 0.0),
(3744, debit, 725, 56.50, 0.0),
(3745, credit, 570, 14.5, 0.0),
(3746, cash, 59, 45.00, 0.0),
(3746, debit, 59, 45.00, 0.0),
(3747, credit, 734, 69.0, 0.0),
(3748, cash, 226, 81.0, 0.0),
(3749, debit, 368, 131.0, 0.0),
(3750, cash, 147, 7.00, 3.33),
(3750, debit, 147, 7.00, 3.33),
(3750, credit, 147, 7.00, 3.33),
(3751, credit card, 298, 87.0, 0.0),
(3752, credit card, 442, 79.5, 0.0),
(3753, debit, 163, 12.5, 0.0),
(3754, credit card, 299, 14.5, 0.0),
(3755, cash, 13, 68.5, 0.0),
(3756, debit, 50, 100.0, 0.0),
(3757, cash, 687, 55.5, 0.0),
(3758, cash, 753, 37.50, 0.0),
(3758, cash, 753, 37.50, 0.0),
(3759, debit, 949, 14.5, 0.0),
(3760, cash, 804, 35.5, 0.0),
(3761, cash, 811, 14.0, 0.0),
(3762, cash, 137, 27.63, 2.50),
(3762, credit, 137, 27.63, 2.50),
(3762, cash, 137, 27.63, 2.50),
(3762, debit, 137, 27.63, 2.50),
(3763, credit, 676, 14.50, 0.0),
(3763, cash, 676, 14.50, 0.0),
(3764, credit, 992, 6.75, 0.0),
(3764, debit, 992, 6.75, 0.0),
(3765, debit, 544, 49.5, 0.0),
(3766, credit card, 300, 13.5, 0.0),
(3767, cash, 769, 77.5, 0.0),
(3768, credit card, 727, 73.0, 0.0),
(3769, cash, 439, 50.75, 0.0),
(3769, debit, 439, 50.75, 0.0),
(3770, credit card, 910, 56.0, 0.0),
(3771, credit card, 402, 12.5, 0.0),
(3772, debit, 327, 87.0, 0.0),
(3773, debit, 663, 27.0, 0.0),
(3774, credit, 68, 8.10, 2.00),
(3774, cash, 68, 8.10, 2.00),
(3774, credit, 68, 8.10, 2.00),
(3774, credit, 68, 8.10, 2.00),
(3774, cash, 68, 8.10, 2.00),
(3775, credit card, 438, 12.5, 0.0),
(3776, debit, 111, 9.5, 0.0),
(3777, debit, 549, 77.0, 0.0),
(3778, credit, 622, 7.00, 3.33),
(3778, cash, 622, 7.00, 3.33),
(3778, cash, 622, 7.00, 3.33),
(3779, cash, 560, 60.0, 0.0),
(3780, cash, 207, 100.0, 0.0),
(3781, debit, 740, 50.00, 0.0),
(3781, debit, 740, 50.00, 0.0),
(3782, credit, 870, 50.00, 0.0),
(3782, debit, 870, 50.00, 0.0),
(3783, debit, 202, 20.0, 0.0),
(3784, debit, 510, 10.00, 0.0),
(3784, cash, 510, 10.00, 0.0),
(3785, cash, 53, 20.0, 0.0),
(3786, debit, 912, 20.0, 0.0),
(3787, debit, 37, 20.0, 0.0),
(3788, cash, 806, 10.00, 0.0),
(3788, debit, 806, 10.00, 0.0),
(3789, debit, 672, 81.0, 0.0),
(3790, debit, 278, 70.0, 0.0),
(3791, credit, 290, 22.0, 0.0),
(3792, credit card, 584, 104.0, 0.0),
(3793, credit, 375, 96.5, 0.0),
(3794, cash, 493, 38.75, 0.0),
(3794, debit, 493, 38.75, 0.0),
(3795, credit card, 694, 107.0, 0.0),
(3796, debit, 48, 62.0, 0.0),
(3797, cash, 461, 67.5, 0.0),
(3798, debit, 214, 98.5, 0.0),
(3799, credit card, 721, 12.5, 0.0),
(3800, cash, 703, 41.00, 0.0),
(3800, debit, 703, 41.00, 0.0),
(3801, debit, 501, 23.63, 2.50),
(3801, credit, 501, 23.63, 2.50),
(3801, debit, 501, 23.63, 2.50),
(3801, debit, 501, 23.63, 2.50),
(3802, credit card, 418, 14.5, 0.0),
(3803, debit, 355, 5.0, 0.0),
(3804, debit, 781, 31.25, 0.0),
(3804, debit, 781, 31.25, 0.0),
(3805, debit, 293, 14.5, 0.0),
(3806, cash, 389, 52.75, 0.0),
(3806, cash, 389, 52.75, 0.0),
(3807, debit, 733, 12.5, 0.0),
(3808, cash, 711, 48.0, 0.0),
(3809, credit card, 1000, 19.0, 0.0),
(3810, debit, 211, 45.0, 0.0),
(3811, cash, 31, 9.13, 2.50),
(3811, cash, 31, 9.13, 2.50),
(3811, debit, 31, 9.13, 2.50),
(3811, debit, 31, 9.13, 2.50),
(3812, cash, 616, 65.0, 0.0),
(3813, cash, 372, 23.0, 0.0),
(3814, cash, 240, 11.5, 0.0),
(3815, credit, 66, 10.50, 0.0),
(3815, debit, 66, 10.50, 0.0),
(3816, cash, 641, 32.5, 0.0),
(3817, cash, 456, 62.00, 0.0),
(3817, cash, 456, 62.00, 0.0),
(3818, credit card, 842, 10.5, 0.0),
(3819, credit, 747, 9.50, 0.0),
(3819, debit, 747, 9.50, 0.0),
(3820, cash, 161, 80.0, 0.0),
(3821, debit, 182, 64.5, 0.0),
(3822, debit, 979, 99.0, 0.0),
(3823, cash, 514, 12.5, 0.0),
(3824, cash, 72, 25.00, 3.33),
(3824, cash, 72, 25.00, 3.33),
(3824, cash, 72, 25.00, 3.33),
(3825, debit, 194, 12.5, 0.0),
(3826, cash, 232, 88.0, 0.0),
(3827, debit, 740, 60.0, 0.0),
(3828, debit, 552, 84.0, 0.0),
(3829, cash, 901, 12.5, 0.0),
(3830, cash, 888, 4.83, 3.33),
(3830, cash, 888, 4.83, 3.33),
(3830, debit, 888, 4.83, 3.33),
(3831, credit card, 692, 92.5, 0.0),
(3832, cash, 36, 101.5, 0.0),
(3833, debit, 540, 98.0, 0.0),
(3834, debit, 160, 7.25, 0.0),
(3834, debit, 160, 7.25, 0.0),
(3835, credit, 313, 14.50, 0.0),
(3835, cash, 313, 14.50, 0.0),
(3836, credit card, 544, 9.5, 0.0),
(3837, cash, 95, 12.5, 0.0),
(3838, credit card, 534, 73.5, 0.0),
(3839, debit, 919, 20.0, 0.0),
(3840, credit, 423, 8.60, 2.00),
(3840, credit, 423, 8.60, 2.00),
(3840, debit, 423, 8.60, 2.00),
(3840, debit, 423, 8.60, 2.00),
(3840, credit, 423, 8.60, 2.00),
(3841, debit, 169, 26.75, 0.0),
(3841, credit, 169, 26.75, 0.0),
(3842, cash, 252, 56.5, 0.0),
(3843, credit, 688, 5.25, 0.0),
(3843, credit, 688, 5.25, 0.0),
(3844, cash, 286, 10.5, 0.0),
(3845, credit, 293, 54.5, 0.0),
(3846, cash, 818, 78.5, 0.0),
(3847, cash, 229, 86.0, 0.0),
(3848, credit, 696, 13.50, 0.0),
(3848, cash, 696, 13.50, 0.0),
(3849, debit, 344, 104.5, 0.0),
(3850, cash, 894, 87.0, 0.0),
(3851, debit, 799, 4.17, 3.33),
(3851, cash, 799, 4.17, 3.33),
(3851, debit, 799, 4.17, 3.33),
(3852, debit, 227, 12.5, 0.0),
(3853, credit, 35, 54.50, 0.0),
(3853, debit, 35, 54.50, 0.0),
(3854, cash, 209, 38.00, 3.33),
(3854, debit, 209, 38.00, 3.33),
(3854, debit, 209, 38.00, 3.33),
(3855, credit, 335, 12.5, 0.0),
(3856, credit, 493, 17.5, 0.0),
(3857, credit, 660, 59.0, 0.0),
(3858, cash, 516, 105.0, 0.0),
(3859, debit, 705, 7.38, 2.50),
(3859, credit, 705, 7.38, 2.50),
(3859, credit, 705, 7.38, 2.50),
(3859, credit, 705, 7.38, 2.50),
(3860, credit card, 233, 127.0, 0.0),
(3861, credit card, 101, 14.5, 0.0),
(3862, credit, 583, 96.5, 0.0),
(3863, debit, 762, 35.25, 0.0),
(3863, cash, 762, 35.25, 0.0),
(3864, credit, 962, 77.5, 0.0),
(3865, credit card, 192, 61.0, 0.0),
(3866, debit, 864, 72.5, 0.0),
(3867, cash, 463, 17.33, 3.33),
(3867, cash, 463, 17.33, 3.33),
(3867, cash, 463, 17.33, 3.33),
(3868, debit, 939, 25.0, 0.0),
(3869, debit, 238, 44.00, 0.0),
(3869, credit, 238, 44.00, 0.0),
(3870, debit, 666, 83.0, 0.0),
(3871, credit card, 535, 77.5, 0.0),
(3872, debit, 420, 21.0, 0.0),
(3873, credit card, 493, 75.0, 0.0),
(3874, cash, 163, 70.0, 0.0),
(3875, cash, 68, 34.50, 0.0),
(3875, cash, 68, 34.50, 0.0),
(3876, debit, 529, 116.5, 0.0),
(3877, credit, 342, 48.50, 0.0),
(3877, cash, 342, 48.50, 0.0),
(3878, credit card, 836, 75.0, 0.0),
(3879, debit, 306, 2.50, 2.00),
(3879, cash, 306, 2.50, 2.00),
(3879, cash, 306, 2.50, 2.00),
(3879, debit, 306, 2.50, 2.00),
(3879, cash, 306, 2.50, 2.00),
(3880, cash, 97, 75.0, 0.0),
(3881, cash, 325, 7.0, 0.0),
(3882, debit, 765, 42.25, 0.0),
(3882, debit, 765, 42.25, 0.0),
(3883, credit, 978, 71.25, 0.0),
(3883, cash, 978, 71.25, 0.0),
(3884, credit, 206, 6.75, 2.50),
(3884, debit, 206, 6.75, 2.50),
(3884, credit, 206, 6.75, 2.50),
(3884, cash, 206, 6.75, 2.50),
(3885, debit, 749, 7.25, 0.0),
(3885, cash, 749, 7.25, 0.0),
(3886, cash, 119, 17.5, 0.0),
(3887, credit card, 912, 79.0, 0.0),
(3888, debit, 609, 104.0, 0.0),
(3889, credit card, 188, 86.5, 0.0),
(3890, debit, 436, 43.00, 0.0),
(3890, cash, 436, 43.00, 0.0),
(3891, cash, 953, 17.00, 3.33),
(3891, credit, 953, 17.00, 3.33),
(3891, cash, 953, 17.00, 3.33),
(3892, debit, 437, 62.0, 0.0),
(3893, cash, 120, 4.75, 0.0),
(3893, debit, 120, 4.75, 0.0),
(3894, cash, 415, 22.75, 0.0),
(3894, cash, 415, 22.75, 0.0),
(3895, debit, 815, 6.67, 3.33),
(3895, cash, 815, 6.67, 3.33),
(3895, cash, 815, 6.67, 3.33),
(3896, credit card, 979, 9.5, 0.0),
(3897, cash, 998, 32.00, 0.0),
(3897, cash, 998, 32.00, 0.0),
(3898, debit, 256, 43.75, 0.0),
(3898, cash, 256, 43.75, 0.0),
(3899, cash, 950, 97.5, 0.0),
(3900, credit card, 85, 89.5, 0.0),
(3901, credit card, 371, 77.0, 0.0),
(3902, cash, 96, 19.75, 0.0),
(3902, debit, 96, 19.75, 0.0),
(3903, credit, 260, 84.5, 0.0),
(3904, credit card, 379, 12.5, 0.0),
(3905, debit, 643, 6.75, 0.0),
(3905, cash, 643, 6.75, 0.0),
(3906, cash, 622, 50.25, 0.0),
(3906, debit, 622, 50.25, 0.0),
(3907, credit, 619, 79.0, 0.0),
(3908, cash, 734, 12.5, 0.0),
(3909, debit, 792, 73.5, 0.0),
(3910, credit, 529, 62.5, 0.0),
(3911, cash, 137, 97.0, 0.0),
(3912, debit, 719, 131.0, 0.0),
(3913, cash, 705, 13.5, 0.0),
(3914, cash, 650, 101.0, 0.0),
(3915, debit, 241, 95.5, 0.0),
(3916, cash, 286, 75.0, 0.0),
(3917, cash, 255, 12.5, 0.0),
(3918, cash, 881, 124.5, 0.0),
(3919, debit, 315, 45.25, 0.0),
(3919, debit, 315, 45.25, 0.0),
(3920, cash, 107, 13.5, 0.0),
(3921, debit, 12, 30.5, 0.0),
(3922, credit card, 55, 14.5, 0.0),
(3923, cash, 158, 135.5, 0.0),
(3924, cash, 592, 60.5, 0.0),
(3925, credit card, 126, 87.0, 0.0),
(3926, cash, 596, 21.0, 0.0),
(3927, cash, 708, 66.0, 0.0),
(3928, cash, 932, 6.25, 0.0),
(3928, credit, 932, 6.25, 0.0),
(3929, debit, 703, 155.0, 0.0),
(3930, debit, 953, 16.0, 0.0),
(3931, debit, 356, 21.0, 0.0),
(3932, cash, 672, 4.75, 0.0),
(3932, cash, 672, 4.75, 0.0),
(3933, cash, 639, 34.50, 0.0),
(3933, debit, 639, 34.50, 0.0),
(3934, debit, 791, 51.25, 0.0),
(3934, credit, 791, 51.25, 0.0),
(3935, credit card, 56, 26.5, 0.0),
(3936, credit, 453, 10.50, 0.0),
(3936, credit, 453, 10.50, 0.0),
(3937, debit, 839, 21.50, 0.0),
(3937, credit, 839, 21.50, 0.0),
(3938, cash, 437, 92.0, 0.0),
(3939, debit, 296, 31.5, 0.0),
(3940, cash, 835, 76.5, 0.0),
(3941, credit card, 216, 13.5, 0.0),
(3942, credit, 437, 36.00, 0.0),
(3942, debit, 437, 36.00, 0.0),
(3943, debit, 309, 122.5, 0.0),
(3944, cash, 258, 87.5, 0.0),
(3945, credit, 889, 37.50, 0.0),
(3945, cash, 889, 37.50, 0.0),
(3946, debit, 878, 86.0, 0.0),
(3947, debit, 198, 42.25, 0.0),
(3947, debit, 198, 42.25, 0.0),
(3948, cash, 756, 10.5, 0.0),
(3949, cash, 651, 3.13, 2.50),
(3949, cash, 651, 3.13, 2.50),
(3949, credit, 651, 3.13, 2.50),
(3949, cash, 651, 3.13, 2.50),
(3950, debit, 229, 44.33, 3.33),
(3950, debit, 229, 44.33, 3.33),
(3950, credit, 229, 44.33, 3.33),
(3951, debit, 652, 43.50, 0.0),
(3951, debit, 652, 43.50, 0.0),
(3952, credit card, 222, 120.5, 0.0),
(3953, cash, 73, 38.0, 0.0),
(3954, debit, 191, 10.5, 0.0),
(3955, cash, 763, 65.0, 0.0),
(3956, debit, 110, 35.5, 0.0),
(3957, cash, 581, 69.5, 0.0),
(3958, credit, 223, 70.0, 0.0),
(3959, cash, 916, 78.5, 0.0),
(3960, debit, 952, 49.0, 0.0),
(3961, cash, 263, 5.25, 2.50),
(3961, debit, 263, 5.25, 2.50),
(3961, debit, 263, 5.25, 2.50),
(3961, cash, 263, 5.25, 2.50),
(3962, credit card, 7, 11.5, 0.0),
(3963, cash, 297, 4.75, 0.0),
(3963, credit, 297, 4.75, 0.0),
(3964, debit, 777, 30.00, 0.0),
(3964, debit, 777, 30.00, 0.0),
(3965, debit, 605, 7.25, 0.0),
(3965, credit, 605, 7.25, 0.0),
(3966, credit card, 400, 88.5, 0.0),
(3967, debit, 989, 12.5, 0.0),
(3968, debit, 169, 13.5, 0.0),
(3969, credit card, 947, 81.0, 0.0),
(3970, debit, 481, 20.25, 0.0),
(3970, debit, 481, 20.25, 0.0),
(3971, credit card, 784, 78.5, 0.0),
(3972, credit, 687, 81.0, 0.0),
(3973, cash, 161, 14.5, 0.0),
(3974, credit card, 221, 42.0, 0.0),
(3975, credit, 268, 12.5, 0.0),
(3976, credit card, 782, 99.5, 0.0),
(3977, debit, 681, 7.25, 0.0),
(3977, cash, 681, 7.25, 0.0),
(3978, cash, 535, 110.5, 0.0),
(3979, credit, 538, 126.5, 0.0),
(3980, cash, 703, 20.0, 0.0),
(3981, cash, 749, 60.0, 0.0),
(3982, debit, 232, 80.0, 0.0),
(3983, cash, 342, 80.0, 0.0),
(3984, debit, 118, 20.0, 0.0),
(3985, debit, 200, 6.67, 3.33),
(3985, cash, 200, 6.67, 3.33),
(3985, credit, 200, 6.67, 3.33),
(3986, debit, 378, 100.0, 0.0),
(3987, debit, 458, 60.0, 0.0),
(3988, credit, 199, 5.00, 2.50),
(3988, debit, 199, 5.00, 2.50),
(3988, debit, 199, 5.00, 2.50),
(3988, cash, 199, 5.00, 2.50),
(3989, debit, 905, 20.0, 0.0),
(3990, debit, 102, 61.0, 0.0),
(3991, debit, 196, 12.5, 0.0),
(3992, debit, 694, 136.0, 0.0),
(3993, credit, 301, 100.5, 0.0),
(3994, cash, 888, 73.0, 0.0),
(3995, credit, 255, 34.25, 0.0),
(3995, debit, 255, 34.25, 0.0),
(3996, credit, 173, 12.5, 0.0),
(3997, debit, 943, 45.5, 0.0),
(3998, cash, 437, 11.38, 2.50),
(3998, debit, 437, 11.38, 2.50),
(3998, debit, 437, 11.38, 2.50),
(3998, cash, 437, 11.38, 2.50),
(3999, credit, 582, 23.0, 0.0),
(4000, credit card, 479, 112.5, 0.0),
(4001, credit card, 978, 58.0, 0.0),
(4002, cash, 673, 90.5, 0.0),
(4003, debit, 265, 3.13, 2.50),
(4003, debit, 265, 3.13, 2.50),
(4003, cash, 265, 3.13, 2.50),
(4003, debit, 265, 3.13, 2.50),
(4004, cash, 556, 47.25, 0.0),
(4004, debit, 556, 47.25, 0.0),
(4005, credit card, 781, 14.5, 0.0),
(4006, credit card, 193, 70.0, 0.0),
(4007, cash, 870, 13.5, 0.0),
(4008, cash, 381, 7.25, 0.0),
(4008, debit, 381, 7.25, 0.0),
(4009, credit, 380, 104.0, 0.0),
(4010, credit, 986, 43.0, 0.0),
(4011, debit, 63, 43.50, 0.0),
(4011, debit, 63, 43.50, 0.0),
(4012, credit card, 438, 77.5, 0.0),
(4013, cash, 976, 7.25, 0.0),
(4013, debit, 976, 7.25, 0.0),
(4014, cash, 613, 48.25, 0.0),
(4014, credit, 613, 48.25, 0.0),
(4015, debit, 681, 68.0, 0.0),
(4016, debit, 593, 31.00, 0.0),
(4016, cash, 593, 31.00, 0.0),
(4017, debit, 985, 21.0, 0.0),
(4018, debit, 700, 10.5, 0.0),
(4019, debit, 671, 32.5, 0.0),
(4020, debit, 130, 33.5, 0.0),
(4021, cash, 236, 49.0, 0.0),
(4022, debit, 986, 30.00, 3.33),
(4022, debit, 986, 30.00, 3.33),
(4022, debit, 986, 30.00, 3.33),
(4023, cash, 166, 83.0, 0.0),
(4024, credit card, 258, 23.0, 0.0),
(4025, cash, 443, 8.00, 0.0),
(4025, cash, 443, 8.00, 0.0),
(4026, cash, 14, 46.00, 0.0),
(4026, credit, 14, 46.00, 0.0),
(4027, cash, 225, 13.5, 0.0),
(4028, debit, 837, 7.0, 0.0),
(4029, credit, 840, 45.00, 0.0),
(4029, credit, 840, 45.00, 0.0),
(4030, credit card, 6, 75.0, 0.0),
(4031, credit, 40, 6.25, 0.0),
(4031, cash, 40, 6.25, 0.0),
(4032, cash, 85, 28.5, 0.0),
(4033, credit, 556, 9.5, 0.0),
(4034, debit, 44, 81.0, 0.0),
(4035, debit, 115, 106.5, 0.0),
(4036, debit, 178, 119.5, 0.0),
(4037, credit, 514, 70.5, 0.0),
(4038, cash, 991, 67.50, 0.0),
(4038, cash, 991, 67.50, 0.0),
(4039, credit card, 858, 97.5, 0.0),
(4040, debit, 237, 99.0, 0.0),
(4041, credit card, 560, 23.0, 0.0),
(4042, cash, 96, 81.0, 0.0),
(4043, debit, 7, 29.0, 0.0),
(4044, debit, 791, 46.0, 0.0),
(4045, credit, 551, 67.0, 0.0),
(4046, credit card, 704, 93.0, 0.0),
(4047, cash, 961, 20.0, 0.0),
(4048, debit, 287, 12.5, 0.0),
(4049, credit card, 345, 48.0, 0.0),
(4050, cash, 471, 67.5, 0.0),
(4051, debit, 178, 89.0, 0.0),
(4052, debit, 438, 83.5, 0.0),
(4053, debit, 29, 56.5, 0.0),
(4054, credit, 757, 69.5, 0.0),
(4055, credit card, 833, 88.5, 0.0),
(4056, cash, 670, 12.5, 0.0),
(4057, cash, 875, 6.75, 2.50),
(4057, cash, 875, 6.75, 2.50),
(4057, cash, 875, 6.75, 2.50),
(4057, debit, 875, 6.75, 2.50),
(4058, debit, 859, 84.0, 0.0),
(4059, credit card, 949, 14.0, 0.0),
(4060, credit card, 58, 13.5, 0.0),
(4061, cash, 313, 151.5, 0.0),
(4062, debit, 207, 6.75, 0.0),
(4062, debit, 207, 6.75, 0.0),
(4063, credit, 639, 14.5, 0.0),
(4064, debit, 44, 75.0, 0.0),
(4065, cash, 580, 59.5, 0.0),
(4066, credit card, 356, 75.0, 0.0),
(4067, credit, 546, 46.50, 0.0),
(4067, debit, 546, 46.50, 0.0),
(4068, cash, 267, 13.50, 0.0),
(4068, cash, 267, 13.50, 0.0),
(4069, debit, 777, 13.5, 0.0),
(4070, credit, 639, 62.0, 0.0),
(4071, credit card, 461, 104.0, 0.0),
(4072, cash, 387, 24.0, 0.0),
(4073, debit, 724, 64.0, 0.0),
(4074, cash, 737, 35.50, 0.0),
(4074, debit, 737, 35.50, 0.0),
(4075, debit, 302, 10.5, 0.0),
(4076, cash, 933, 21.00, 0.0),
(4076, credit, 933, 21.00, 0.0),
(4077, debit, 813, 90.0, 0.0),
(4078, debit, 430, 31.5, 0.0),
(4079, credit card, 828, 102.0, 0.0),
(4080, cash, 926, 20.63, 2.50),
(4080, cash, 926, 20.63, 2.50),
(4080, debit, 926, 20.63, 2.50),
(4080, debit, 926, 20.63, 2.50),
(4081, credit card, 791, 83.5, 0.0),
(4082, credit, 716, 13.5, 0.0),
(4083, debit, 919, 52.0, 0.0),
(4084, cash, 837, 67.0, 0.0),
(4085, credit, 992, 17.00, 0.0),
(4085, cash, 992, 17.00, 0.0),
(4086, debit, 411, 2.90, 2.00),
(4086, cash, 411, 2.90, 2.00),
(4086, cash, 411, 2.90, 2.00),
(4086, credit, 411, 2.90, 2.00),
(4086, cash, 411, 2.90, 2.00),
(4087, credit card, 286, 142.0, 0.0),
(4088, credit card, 599, 33.5, 0.0),
(4089, cash, 443, 87.0, 0.0),
(4090, credit, 658, 81.0, 0.0),
(4091, debit, 75, 85.0, 0.0),
(4092, credit card, 847, 93.5, 0.0),
(4093, credit, 459, 27.0, 0.0),
(4094, debit, 282, 22.0, 0.0),
(4095, credit card, 716, 21.0, 0.0),
(4096, debit, 832, 56.5, 0.0),
(4097, credit, 857, 67.0, 0.0),
(4098, debit, 671, 92.5, 0.0),
(4099, debit, 581, 31.5, 0.0),
(4100, debit, 187, 71.5, 0.0),
(4101, debit, 504, 60.0, 0.0),
(4102, credit card, 677, 10.5, 0.0),
(4103, credit card, 552, 99.5, 0.0),
(4104, credit card, 444, 69.5, 0.0),
(4105, debit, 818, 75.0, 0.0),
(4106, cash, 350, 29.5, 0.0),
(4107, credit, 336, 31.25, 0.0),
(4107, credit, 336, 31.25, 0.0),
(4108, cash, 140, 7.0, 0.0),
(4109, debit, 1, 55.50, 0.0),
(4109, credit, 1, 55.50, 0.0),
(4110, credit card, 763, 86.0, 0.0),
(4111, credit card, 574, 29.0, 0.0),
(4112, cash, 576, 7.25, 0.0),
(4112, cash, 576, 7.25, 0.0),
(4113, cash, 616, 27.0, 0.0),
(4114, credit card, 985, 116.5, 0.0),
(4115, debit, 997, 46.50, 0.0),
(4115, debit, 997, 46.50, 0.0),
(4116, debit, 856, 118.5, 0.0),
(4117, credit card, 83, 13.5, 0.0),
(4118, credit, 64, 115.0, 0.0),
(4119, credit card, 673, 68.5, 0.0),
(4120, cash, 400, 47.75, 0.0),
(4120, cash, 400, 47.75, 0.0),
(4121, debit, 722, 98.0, 0.0),
(4122, credit, 549, 49.25, 0.0),
(4122, debit, 549, 49.25, 0.0),
(4123, credit, 130, 92.5, 0.0),
(4124, cash, 377, 11.5, 0.0),
(4125, cash, 537, 10.5, 0.0),
(4126, debit, 640, 33.50, 0.0),
(4126, cash, 640, 33.50, 0.0),
(4127, cash, 293, 35.5, 0.0),
(4128, cash, 887, 3.50, 3.33),
(4128, debit, 887, 3.50, 3.33),
(4128, credit, 887, 3.50, 3.33),
(4129, cash, 286, 2.00, 0.0),
(4129, debit, 286, 2.00, 0.0),
(4130, credit, 582, 12.5, 0.0),
(4131, cash, 504, 10.5, 0.0),
(4132, cash, 911, 44.50, 0.0),
(4132, cash, 911, 44.50, 0.0),
(4133, credit, 524, 27.0, 0.0),
(4134, cash, 300, 37.50, 0.0),
(4134, debit, 300, 37.50, 0.0),
(4135, cash, 965, 16.0, 0.0),
(4136, credit, 802, 73.5, 0.0),
(4137, debit, 813, 13.5, 0.0),
(4138, debit, 36, 45.00, 0.0),
(4138, credit, 36, 45.00, 0.0),
(4139, debit, 500, 45.5, 0.0),
(4140, credit card, 562, 24.0, 0.0),
(4141, debit, 617, 112.0, 0.0),
